Account,Allocation,BAL (raw),vlCVX (raw),Voting power (raw),BAL (rescaled),vlCVX (rescaled),Voting power (rescaled),Vote
0xa52fd396891e7a74b641a2cb1a6999fcf56b077e,14684777226472144320724,0,1064925605978579260408878,0,0,14684777226472144320724,0,-
0x597f540bb63381ffa267027d2d479984825057a8,14533102461511662113480,0,1050285170766539871692657,0,0,14533102461511662113480,0,-
0x5c89c420a9e82ea9aedbaaab03302e39982919b9,14311823480691333315918,945025182908192199705,0,2147891211156092140300,183563733418050105684,0,14128259747273283210234,Y
0x9c5083dd4838e120dbeac44c052179692aa5dac5,14008057349023629285512,0,1000000002647663932293653,0,0,14008057349023629285512,0,-
0xa22eb3338dfd69458513a1f6d4742ab29f7ef333,14008057321207232234883,0,1000000000000006984919310,0,0,14008057321207232234883,0,-
0xd91147824c6d8a709e1a4585b22d5138d6b8562e,13934339597172594949370,0,0,2074944957281797087489,0,0,13934339597172594949370,N
0x0845989a8a6da24874b37b7c610b2d6fc524c067,13805282140463012183318,300000000000000000000000,0,0,13805282140463012183318,0,0,-
0x53a87b98e38cf1fe906422e624c6954421391f44,13805282140463012183318,300000000000000000000000,0,0,13805282140463012183318,0,0,-
0xd50f6325b568a978a0d95106f35e368fac475332,13745180729785131347853,1522973419177267487612,0,1910850194333074796305,262556992128714568935,0,13482623737656416778918,Y
0xf96da4775776ea43c42795b116c7a6eccd6e71b5,13337498582721002094331,0,936688743970567127689719,0,0,13337498582721002094331,0,-
0x74c3646adad7e196102d1fe35267adfd401a568b,12739529934468693681993,269524807050224400000000,0,0,12739529934468693681993,0,0,-
0x355d72fb52ad4591b2066e43e89a7a38cf5cb341,12175147204939514267608,0,829459299817247898317873,0,0,12175147204939514267608,0,-
0x0d5dc686d0a2abbfdafdfb4d0533e886517d4e83,11835390222782107230159,0,798741461206396226771176,0,0,11835390222782107230159,0,-
0x94278cbc4cb0c15ad23084502db7e6154eaf9b0d,11732567978566808960750,241500654031907620000000,0,0,11732567978566808960750,0,0,-
0x7019be4e4eb74ca5f61224feaf687d2b43998516,11167330176337594707548,913258696596016079639,0,1145850962264066765783,178916217520480017811,0,10988413958817114689737,N
0x682c4184286415344a35a0ff6699bb8edabddc17,11071418466796188965872,894041331711383804759,0,1121739244382472406869,176085073659431088799,0,10895333393136757877073,N
0x8ca24021e3ee3b5c241bbfcee0712554d7dc38a1,10729685692065469993395,214376350164056144421920,0,0,10729685692065469993395,0,0,-
0x5e4568c4d8343052a06ec8aab1e124af08b73248,10720785803222084553000,774075837802923724995,0,1038082193371457151443,158049082626208303282,0,10562736720595876249718,N
0xb4522eb2ca49963de9c3dc69023cbe6d53489c98,10616250941561724829399,604531928055106050124,0,1019075789510617937594,131301224987541644396,0,10484949716574183185003,Y
0x4281e53938c3b1c1d3e8afd21c02ce8512cdbc93,10514591953118115270627,208665557584017766042574,0,0,10514591953118115270627,0,0,-
0x1c8bcb6348c84122e67a50e513a1e183c0e6929a,10500102422733290950418,208282246299029500000000,0,0,10500102422733290950418,0,0,-
0x438fd34eab0e80814a231a983d8bfaf507ae16d4,10457311176975188573124,207151260804740920000000,0,0,10457311176975188573124,0,0,-
0x1c39babd4e0d7bff33bc27c6cc5a4f1d74c9f562,10067348331390172461397,196915997458966099657118,0,0,10067348331390172461397,0,0,-
0xbb19053e031d9b2b364351b21a8ed3568b21399b,9903020091831018362427,192642047664288194785206,0,0,9903020091831018362427,0,0,-
0x701a1824e5574b0b6b1c8da808b184a7ab7a2867,9890845619858608188224,192326341342553900000000,0,0,9890845619858608188224,0,0,-
0x91b9e59614995e13a32e36440ac524825f7ae39e,9364859415422284655506,178811682050925420000000,0,0,9364859415422284655506,0,0,-
0xdd2fb90869fef74bb728d201240ceb3d28d92b6b,9106221160714354482479,172257628506277080000000,0,0,9106221160714354482479,0,0,-
0xc9cdf35e2cf93df9e5313a979e54ba8887a4041e,9106221160714354482479,172257628506277080000000,0,0,9106221160714354482479,0,0,-
0x762ad71b6a130a75ea3bcba0d11e85096c1d5dab,8942777419276838486440,527768504532581118838,0,662182633491895217048,118586963232438506566,0,8824190456044399979874,Y
0xdec79cee4397202739ed948ef98846774feb53f9,8921933768108017993371,211249512438918820578,0,669347313184130825903,59676196074897397637,0,8862257572033120595734,N
