Account,Allocation
0x1542326f181340ea035687c604f2c99803c62c32,16315555533118791375000
0x1e26fe447505d58c35c7fbce2f197099c58a06a4,16315555533118791375000
0x84525d09fc9a0a3978e12a00e684d5cac1f52c79,16315555533118791375000
0x736fe4555184778765e4a42d181f6dc2b0b7bf3c,16315555533118791375000
0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,15412894225145230317764
0x1e1300eeaf333c572e4fc0133614291fa9d0df8b,15288900155855015575284
0x272f97b7a56a387ae942350bbc7df5700f8a4576,15085823402795913965496
0xe001452bec9e7ac34ca4ecac56e7e95ed9c9aa3b,14947103712185907028155
0xb4522eb2ca49963de9c3dc69023cbe6d53489c98,14941474984418147609192
0x5e4568c4d8343052a06ec8aab1e124af08b73248,14247572676180329008922
0xf227494f11fdcfe35b49dcce220928c86c62a571,13531138566451909866717
0x5fa9ebc0d504429509deccb5c9d2147b4ff8cd26,13052444426495033100000
0xb24247d8b7681a2d419ebb8a2796ad385ceac728,13052444426495033100000
0x197fdc04553f243b17344534d5cc23fa7bf969f0,13052444426495033100000
0xb96d57a1d9876913afc1ec2f335f610178893553,13052444426495033100000
0xf01e2b33cb2eb0ff45628acebabb5f6daac3849d,13052444426495033100000
0xc82c28a1478de97dc06438690ae19798951b837e,13052444426495033100000
0x0845989a8a6da24874b37b7c610b2d6fc524c067,13052444426495033100000
0x53a87b98e38cf1fe906422e624c6954421391f44,13052444426495033100000
0xfa98226f05b1db1a454d0d4b0dd2efebb80e74d2,12669845816535271457764
0xbf8dce5bc97da4ad219b2005e6a61d52cf7e69fb,12425565881954138364118
0x5d217dcc8cb22eafec2dbc372d91e2f6dbb80d26,12252639274005129219764
0xe1f385da68f138aec8bc5af65ffa39960e34cac7,11908022733979089646159
0xef3cb1d826a8940f526b45264be7f47c99770cc2,11768615560480747005898
0x74c3646adad7e196102d1fe35267adfd401a568b,11726525218616168908633
0x7b556f4405120d270a0321ab55cd35b5957cf519,11623052409649286482550
0x4f21734ad1c41affc712da0ed4a43edd1fc9219b,11623005671097977086369
0xc8a59ba261f36dd2d1d27c0337bd4e328f004563,11622994917095021704470
0x012144ba349d6ae5b68581b29ea4d42b1f43fdb7,11048734772160590521952
0x9a67f1940164d0318612b497e8e6038f902a00a4,10905506959623521448926
0x94278cbc4cb0c15ad23084502db7e6154eaf9b0d,10536832085465374428623
0xe58585b22cc2ac4270a2b92c2d2d8c5db5a3330e,10356508910464502822330
0x4d34c08f9bed000df0fdee895fceca5373b39daf,10254977408305188160990
0xc0735dc9bd6a7d16826dbce01863970cf3881397,9837632649262698323467
0xbba5ebe53e7ea486c527b901e02761a74d4be07f,9828839356108506508754
0x1c8bcb6348c84122e67a50e513a1e183c0e6929a,9061974816145444441816
0x438fd34eab0e80814a231a983d8bfaf507ae16d4,9012767731774198754777
0x3f3e305c4ad49271ebda489dd43d2c8f027d2d41,8936030977084899870924
0xc7ed3fbc63cdbe1cb540713983afb4fd18d2967b,8830083944242263618750
0x1090cdfd5e7aac76248665d530b0a63d4da3f9a5,8629390430037736944624
0x9538d438d506fc426db37fb83dac2a0752a02757,8487235579555742579120
0xf3d9b8f6af674e82943b4685728b00d13a62fc9e,8435810490460767229338
0x91b9e59614995e13a32e36440ac524825f7ae39e,7779765142592678159008
0x5d0ce4389bcb2975c80de0c996ad532eb85ba3bc,7587913912510643688736
0x46692225bd0c88f901b88fd279a1d59e69e23a3b,7583849588752458095678
0xdd2fb90869fef74bb728d201240ceb3d28d92b6b,7494610410393360688985
0xc9cdf35e2cf93df9e5313a979e54ba8887a4041e,7494610410393360688985
0xaba85673458b876c911ccff5e3711bcedb3b4f56,7446742065309108750000
0xb4982f934db398cd4e1f24a581ebdf5df9ba4069,7258368133174689373291
0x7a16ff8270133f063aab6c9977183d9e72835428,6929063380744884379867
0x2509dc0b4d696a2261d47307a017f88f83295029,6852533323909892377500
0xe81b85cd6903deccfea9c4d3fa87d29bf02e5cc0,6798971419076447232367
0x04f806b3a5d670901a19879a626e0e025b7991f3,6546920879371243900415
0xf0bc36fa47a052b92da4f50bd042d9e047192a65,6526222213247516550000
0x4279ffe314dbf5d8fcced919235a72003f871f14,6526222213247516550000
0x4501042eb39ae9185919f94533df5324d8232be5,6526222213247516550000
0x40672889535566711346829a2dfe16e3d060b8be,6526222213247516550000
0xd4d8583fdb310107dc6f936db23b2d0142139ab8,6526222213247516550000
0xe2c1c3fd3e5d67473dbe01fc9cf8f73624f778bf,6526222213247516550000
0x000844e0f9f187569d2e8b49b8260fd4a24328fa,6526222213247516550000
0x9e2b6378ee8ad2a4a95fe481d63caba8fb0ebbf9,6391465999497043795975
0x56a201b872b50bbdee0021ed4d1bb36359d291ed,6369235949600732755990
0xaebfe1e1bd01d4b6baf4b998e7b8dc93182d40e0,6333767949302175358037
0xa52b2b3a918effe74f02ffa3c166742af0b36ea7,6262033136846943828540
0xdd14f3b17c08f9183d5390c31280bbb321491bda,6214417204746792181959
0x0d5dc686d0a2abbfdafdfb4d0533e886517d4e83,6126936513534923408620
0xef287b8ad0ead84a6c7007ea56c6d46fd06af1a0,5946915103756942944116
0xd4b46b14604f8ca35c8e80e497a3f22b85752149,5873599991922764895000
0x9dde0b1d39d0d2c6589cde1bfed3542d2a3c5b11,5733345110327684938113
0xca3cd338242f2bb6101ce6219ae1654def1c3537,5438518511039597125000
0xf8c98cefa0eb07815085ee629ceba37f3dedd47a,5438518511039597125000
