Account,Allocation,BAL,vlCVX,Voting power,Vote,NFT
0x0412ed8438b5fae246606909ef8ba365f9103783,4455571617845082982967,54087129860512322341905,0,0,-,0
0xf6e2c94a609ca303964b65ec991a1a0d2991b961,4387157598078671071562,52982650281533897214103,0,0,-,0
0xaba85673458b876c911ccff5e3711bcedb3b4f56,4381224313969368267863,0,250052625220618604662051,0,-,0
0x07c3aa37347c8102a24e5bfb261cf420aa4512fe,4315804769131682405714,51836828027437165000000,0,0,-,0
0x7c132bde28ad1e0101d45121757d7c6c2e8a550a,4298313071755951568775,51556895352572620000000,0,0,-,0
0xde3258c1c45a557f4924d1e4e3d0a4e5341607ee,4258927715952774633479,50927972871380423814804,0,0,-,0
0x04f806b3a5d670901a19879a626e0e025b7991f3,4198814157430400882731,0,236268760743670854040705,0,-,0
0x56a201b872b50bbdee0021ed4d1bb36359d291ed,4167335968618027436605,0,233909998158180824248120,0,-,0
0x6724f3fbb16f542401bfc42c464ce91b6c31001e,4160988501936556531291,49372454550743633648316,0,0,-,0
0x7a16ff8270133f063aab6c9977183d9e72835428,4150095577883180339995,0,232620631948035123059526,0,-,0
0xfaad21203a7856889cb6eb644ab6864e7253107a,4099881770208887246554,48408074511822497413505,0,0,-,0
0xe81b85cd6903deccfea9c4d3fa87d29bf02e5cc0,4091519355324605385249,0,228253219980240683071315,0,-,0
0x78e96be52e38b3fc3445a2ed34a6e586ffab9631,4069508736993118645842,32155271693586077000000,37360124188338340900373,0,-,0
0x21b7641470b6d78a24310ffd785bbff7361c6b28,4039942617128306210361,15970238695145023000000,0,4772200824886924237944,Y,0
0x0b5a6a15b975fd35f0b301748c8dabd35b50d8c5,4005498493331691406638,46927936866888500000000,0,0,-,0
0x70fce97d671e81080ca3ab4cc7a59aac2e117137,3948950244951638069324,0,217710637087226758012548,0,-,0
0x8cdf1b6cfb693db9e171a1b9dda88c257e68638c,3908560111760406471149,12092879544233021000000,0,5049531411117504831054,Y,0
0xd0ed2d0b2b136f0dfeefc1387dc52ef5d2293dae,3895498216289876381779,0,213790357077414664672688,0,-,0
0xe32af68e3e23dd01441f598b1d967a0bf7c6b407,3890456949571131190169,45139510962460698124233,0,0,-,0
0x58c0a5f11469ea49ad1bf0ad0d25a5cae582dd0a,3889590918433347269456,0,213358198741929660491959,0,-,0
0x6db65261a4fc3f88e60b7470e9b38db0b22e785c,3887113923663977402612,0,213177055085099069401622,0,-,0
0xe2c8f362154aace6144cb9d96f45b9568e0ea721,3868513679343873263861,0,211818041776207421207801,0,-,0
0x0154d25120ed20a516fe43991702e7463c5a6f6e,3832717436265726973943,44248487918692777128627,0,0,-,0
0x6aed19abab347eb07a2c8b264fc5c4c1b002210b,3814183565745621308452,0,207860940009944170014933,0,-,0
0xfffc1affd8cc1596da88a24b274866d59c7d80b0,3801253865691777718894,43764825129239185230290,0,0,-,0
0x1157a2076b9bb22a85cc2c162f20fab3898f4101,3703190792140193025261,42265967521699545613956,0,0,-,0
0x4b581deda2f2c0650c3dfc506c86a8c140d9f699,3697002901370599374786,42171827326947028221883,0,0,-,0
0x108a8b7200d044bbbe95bef6f671baec5473e05f,3633627804141602155141,41210696177117160000000,0,0,-,0
0x4ee98b27eef58844e460922ec9da7c05d32f284a,3593183085475820007559,0,191959625966785359196365,0,-,0
0x58f5f0684c381fcfc203d77b2bba468ebb29b098,3522963425071362962626,0,186974169176810427568047,0,-,0
0x40325d6186d1dcc2ba1c7ae0de8cb55fb2a8945f,3438090035381233064982,12953570295011694523532,0,3837432604114009336627,Y,0
0x3505b95dbc8dbd895614f34ee8633ecbbaf35dc6,3427560691139402479166,0,180253748197794775478542,0,-,0
0x8a8feacc614fa4b59cc2501f680c28e98e57bd14,3425410558846707317571,38092505643729168758504,0,0,-,0
0xc02a0ffc3a2b142954848f3605b341c42d1d58f4,3412848298936556147964,37906353660115739330649,0,0,-,0
0xc72aed14386158960d0e93fecb83642e68482e4b,3400034223569933146791,0,178326198248748609330505,0,-,0
0x97960149fc611508748de01202974d372a677632,3330501424961162229010,36691786925334650732111,0,0,-,0
0x5964892ef205a973be509915e9c5c3922f41fae6,3318063677090153305471,36509200240393450000000,0,0,-,0
0xe9f40007ba897981748a515f7375ddcc22112cf0,3304947669917243274540,9111003708772836000000,0,4122106056122618610971,Y,0
0x09f2d2c353507f8cfb49b392ddd0f54405e95846,3304931153530702886201,0,171706731809717748546973,0,-,0
0xa23f54e0bb57a6114d831c080823f5fe2616cf98,3296010979109843901824,0,171089083207129529910162,0,-,0
0x649f69ccd077da03dfb11f4b1daab4b625f5e9a3,3290003512586466968060,0,170673429417674924479797,0,-,0
0x1fbf5955b35728e650b56ef48ee9f3bd020164c8,3217099697331199877226,35035532622510429064278,0,0,-,0
0x67905d3e4fec0c85dce68195f66dc8eb32f59179,3205697863165938684915,32160236294732330861734,3775624356407962750382,0,-,0
0x4e65175f05b4140a0747c29cce997cd4bb7190d4,3190647216649924757803,34651955511117840000000,0,0,-,0
0xe68d7a6c421e2d220b5840116008c9abdbcf53b2,3167058366646306694747,34310795499383898960920,0,0,-,0
0x125f95140e9c4b34043546bb5ac302b3aecff65b,3164979819867062360572,34280774458525345835369,0,0,-,0
0x67068f70088f214c0ca03a3934d384a0308da355,3127825972003458446125,0,159549044707150635076687,0,-,0
0x23cfd83dd1dc4944721d495dcf1a108cda8800de,3101850590195528639015,0,157784837206259461910745,0,-,0
0x42d13efa958586ff2d3ec20956d44dad8da55864,3077757279667067450646,33026953933762865358652,0,0,-,0
0xe69e091fbb8031b17d5f3f106bed2213ba3d860c,3075923556969090896018,33000720000000001164153,0,0,-,0
0xf9a2fa22cb7df26e3a10622c696f37fc345c6239,3069381392210184458236,0,155586498646061663748696,0,-,0
0xa23f5e6974633d93b3f456d33b336628e6199947,3029980740063870598533,32345151402044193673646,0,0,-,0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,3016256144124195429868,4347921981771158000000,108506690154684794833884,0,-,0
0x05f0ba0f63b401bc9b86089265cee2f79c955768,2999002337410610834922,0,150848097961971041513607,0,-,0
0xc4195d4060daeac44058ed668aa5efec50d77ff6,2991691768314188266231,31801320936592430371093,0,0,-,0
0x8b4334d4812c530574bd4f2763fcd22de94a969b,2974592349324661427090,0,149213244917215924942866,0,-,0
0xb007c70fc157dc7f30cc2be46c9d74eab93a8877,2897793631726816329319,30477497382972775000000,0,0,-,0
0x44751213b4800dd3e70f299a167fdf25bfceb665,2891283239140818750457,30386234321737661957741,0,0,-,0
0xec74c7dacbe337ea39116851cdf3851f6bd754b2,2891067456273191510263,0,143653121120993280783296,0,-,0
0x3f29065b40353c7d823b5834e8ccff5cf1e539b2,2867615148646090347029,0,142101475521963584469631,0,-,0
0x1d5e62171e052419a2f682c6f465f9357d69f39f,2853461712697817347362,29857407620424280000000,0,0,-,0
0x708e5804d0e930fac266d8b3f3e13edba35ac86e,2841069765624346928234,0,140350284547149698482826,0,-,0
0x8906da6bc78f5e4b2a8bbdcf0ff7b5a7c52ea0d4,2832451114007751584722,29564639999999999417923,0,0,-,0
0x59e0cda5922efba00a57794faf09bf6252d64126,2816089071299383249425,29337147248385459533893,0,0,-,0
0x483f556fa515bfe3d015e71b65b7e3cc84815b8d,2812758066533986493596,29290887865404169133399,0,0,-,0
0x4daa44cf5ebbad57c45c79abe805d30ddb74f644,2792249539700935656583,8304948383587121705247,0,3136595419807460530137,Y,0
0xe67e43b831a541c5fa40de52ab0afbe311514e64,2752033216953285773343,28450785395715440000000,0,0,-,0
0x28b7ec763fd69f42eeb16ff6621e7c5f2f5e09ea,2711663564203459827695,0,131892016153719596331939,0,-,0
0x482ba6028f0332aafea3cfc040d797350975efea,2698503647240828740905,0,131039264073757891310379,0,-,0
0x4f2331009166597a3bf44bee7380ac0580646c19,2695057335191094352922,27668144995381229819031,0,0,-,0
0xb1e81d0107c5efe867ad850f73db3b21b442835a,2684251057618203958555,27520323938197345760157,0,0,-,0
0xfa82f1ba00b0697227e2ad6c668abb4c50ca0b1f,2666840869796340484754,0,128993225469179713400081,0,-,0
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,2646842157963393717068,25365704445775920165343,0,0,-,2
0x32ad3d7dc190280f5fd759509daeb9b06a620ea2,2631599236813311563310,0,126725428556026236037724,0,-,0
0x92f5d472bb5018e858e23453641850bfeac30e7d,2626008495787978517910,0,126366590698610103572719,0,-,0
0x957fe1ed8a14b6803a657b2e211d1bbe875af1c3,2608201507354312070674,0,125225359832870366517454,0,-,0
0xb13116f6f225e9d58ef6cc1b87a492eeeceb15c8,2607955907126534839335,26482340000000000145519,0,0,-,0
0x3dba737ccc50a32a1764b493285dd51c8af6c278,2588415701527824239747,26218111046672725933604,0,0,-,0
0xccff6a7cc27858eb7777f51c244360c04591c165,2582769717985657280224,26141887750045193000000,0,0,-,0
0xfbf75933e01b75b154ef0669076be87f62dffae1,2555836457500044161861,25779042281676815703939,0,0,-,0
0xa62315902faadc69f898cc8b85f86ffd1f6aaed8,2548399644326854740939,25679077154087590000000,0,0,-,0
0xa9ed98b5fb8428d68664f3c5027c62a10d45826b,2530289405662948411191,0,120262721908604448283353,0,-,0
0x3f7e19951dfe627d839b17c2b515324fc5103af4,2527709317595638822240,6788809710897443447995,0,2820100220507341873599,Y,0
0x9d478db0cf81a3e051d5041e65056f76b9fec128,2526150289584794336406,0,120000488083320480654947,0,-,0
0x324e0b53cefa84cf970833939249880f814557c6,2516876578889788561355,6429002255706750000000,0,2852640220525764107151,Y,0
0x72b223de2f773c814465c4a8f2ef9faae702cfb3,2516358583375017587969,0,119380704538284058799036,0,-,0
0x561f551f0c65a14df1966e5d38c19d03b03263f5,2502405059966078624711,0,118498880000000004656613,0,-,0
0x47e6dac0fdb0e9de4a1070e1978aa6cbeeedc32f,2459670475847455236362,24493937312700829352252,0,0,-,0
0x5c461a0c595d6b2a4b0f4a42fd55be7aaed8af80,2448718618410881845193,0,115121368598908928106539,0,-,0
0xbbccf6cab5b3aec26b0cbc6095b5b6ddbacfd59a,2436368948621368531349,21316856491450900000000,4634740334632727353892,0,-,0
0x48c6074ffcb8fb67d75ccd06571b42542ed82555,2421205861520698817912,0,113400000129424210172147,0,-,0
0x5c89c420a9e82ea9aedbaaab03302e39982919b9,2392773654930911106931,5923098179982483000000,0,2679796832395665205695,Y,0
0x284b4d2b39c49ec987aa5129c2145711363181c7,2376948110363304749626,0,110644636815332851256244,0,-,0
0x09d4083ffd20d21acb9118465ad7c52ac8b548f7,2375746074881459207973,0,110570038317767495755106,0,-,0
0xb115aff9ce430fef6fcde91099a377795a4319bf,2367130559199184972385,0,110035726633611760917120,0,-,0
0x72a916702bd97923e55d78ea5a3f413dec7f7f85,2333450432682884184032,0,107953204755057377042249,0,-,0
0x12df9fb56c0d669616379e8c7ce2dfba355df6dc,2331007562848313227732,22800669940929925000000,0,0,-,0
0xf85385347f56819c316939434d427d0c9537eddc,2324287421244636334450,0,107388359673590166494250,0,-,0
0x6e26d91c264ab73a0062ccb5fb00becfab3acc6b,2319172550171605962532,0,107073380810312242829241,0,-,0
0x7a8edc710ddeadddb0b539de83f3a306a621e823,2287207291508915659506,0,105110185377152592991479,0,-,0
0x1d8414b6a61e8a06b2902e3f3ebcca82e0a4810d,2272948353990798295854,5695360000000001000000,0,2477464443125294110359,Y,0
0x84f4ccc36fc9d5fb1947949ae5572a33ad738667,2234635597672244330170,6135065497444777529196,0,2335979895042753469170,Y,0
0x7308a21030ae55721707fd4717bf5f8e1b0afbed,2220555708088570099790,0,101046125010170668247156,0,-,0
0xc8034cd0b95655ea6dafbd8cd78bbe98f0b952ae,2220542490827308483858,4268942894718542000000,62947927639943482063245,0,-,0
0xe6882e6093a69c47fc21426c2dfdb4a08eb2dec8,2210614307570162964112,0,100443399187025805099426,0,-,0
0x0459dda9eb7062e6fdca6293a4c363722fca6102,2204112519718044495676,0,100049697862408473156393,0,-,0
0x12b846cf0a231fc291d3c63f83dcc43cff421664,2203429969878407973738,0,100008390001240128185600,0,-,0
0x93d2da51546a9a422f00277c388a53276fa7f685,2203291329204983412637,0,100000000000000000000000,0,-,0
0x7c363e4650ca88e4676f1ce2ac6f2dd50c102198,2203291329204983412637,1045876260433985294,100000000000000000000000,0,-,0
0xb1e9d641249a2033c37cf1c241a01e717c2f6c76,2175580249442978129082,20796464437718263000000,0,0,-,0
0x2df9bca52499f81e577c2cfcfe5491020a5d3bb3,2173037292157905085332,20764059770433934000000,0,0,-,0
0x1be2c432d02ffb083ed99143d5564880802091bb,2172594878316964241094,0,98146714968329179100692,0,-,0
0x82f0d518c6a7735dfe2371cf0c25b9a80d9d554b,2171369170111776384147,20742809910463330000000,0,0,-,0
0x38ec31504f48c7e944567904d519f4059be73387,2161467868484616246860,20616791375129490000000,0,0,-,0
0xbba61015763488c11c209998db06a3d12fc43340,2138641892335968805128,20327007962832519410767,0,0,-,0
0xe34bb624055b171d777eccbbfc3baaeeffbe432c,2137057879699783825345,20306936494575470000000,0,0,-,0
0xdb4c9c0ab25976805e1a7869a4a1ed7f6d43a448,2134087470880565888365,20269310980934388000000,0,0,-,0
0xed99c6929bba505a2f1a65b9ca156a068fab6427,2127223143012306991295,0,95423387949217256391421,0,-,0
0xde9e8c5201d7f6d779f5609ec08c896772330148,2112785819992733195249,20000000000000000000000,0,0,-,0
0x5f153a7d31b315167fe41da83acba1ca7f86e91d,2106286544987367960857,19918011054104412000000,0,0,-,0
0xdaffc78dbe2087254aff69594f7029bf8f33eba2,2088918345956932625995,0,93139246115558242308907,0,-,0
0x1773a7e1fbccfa58a80eec742be10cb40047345e,2088903807770396724663,0,93138381825088930781931,0,-,0
0x3c1104428665110298f111e998229fe079337789,2086683923147611949389,19671233390984245748735,0,0,-,0
