Account,Allocation
0x8cdf1b6cfb693db9e171a1b9dda88c257e68638c,2988740648057541875460
0xe32af68e3e23dd01441f598b1d967a0bf7c6b407,2974897786454705510550
0x05f0ba0f63b401bc9b86089265cee2f79c955768,2969816260625550057739
0xdea0d77a9b02020acf075074881f370a31009982,2967999316720536171488
0x8b4334d4812c530574bd4f2763fcd22de94a969b,2945643828802132247802
0x0154d25120ed20a516fe43991702e7463c5a6f6e,2930746378908053884516
0xfffc1affd8cc1596da88a24b274866d59c7d80b0,2906687275397161556612
0xec74c7dacbe337ea39116851cdf3851f6bd754b2,2862931794050789449102
0xd09ca75315e70bd3988a47958a0c6c5b30b830e1,2861672399842132563208
0x3f29065b40353c7d823b5834e8ccff5cf1e539b2,2839707722608319272695
0x1157a2076b9bb22a85cc2c162f20fab3898f4101,2831701836868221107579
0x4b581deda2f2c0650c3dfc506c86a8c140d9f699,2826970170950335614179
0xa9ed98b5fb8428d68664f3c5027c62a10d45826b,2823416919731828329532
0x708e5804d0e930fac266d8b3f3e13edba35ac86e,2813420677360274112289
0x6d5dda04760f0515dc131ff4df76a5188ffcdfcb,2806542184601695680612
0x108a8b7200d044bbbe95bef6f671baec5473e05f,2778509427416422568058
0x28b7ec763fd69f42eeb16ff6621e7c5f2f5e09ea,2685273847859181387321
0x482ba6028f0332aafea3cfc040d797350975efea,2672242002269541444548
0xfa82f1ba00b0697227e2ad6c668abb4c50ca0b1f,2640887364716175397916
0x40325d6186d1dcc2ba1c7ae0de8cb55fb2a8945f,2628988462914388946956
0x8a8feacc614fa4b59cc2501f680c28e98e57bd14,2619292906026110813400
0xc02a0ffc3a2b142954848f3605b341c42d1d58f4,2609686980633799976204
0x32ad3d7dc190280f5fd759509daeb9b06a620ea2,2605988700791036990267
0x92f5d472bb5018e858e23453641850bfeac30e7d,2600452368458493310754
0x957fe1ed8a14b6803a657b2e211d1bbe875af1c3,2582818676365830924624
0x97960149fc611508748de01202974d372a677632,2546719176006667566980
0x5964892ef205a973be509915e9c5c3922f41fae6,2537208460661513981904
0xe9f40007ba897981748a515f7375ddcc22112cf0,2527179103901733924431
0x9d478db0cf81a3e051d5041e65056f76b9fec128,2501565975193735084758
0x67905d3e4fec0c85dce68195f66dc8eb32f59179,2493861516168331064591
0x72b223de2f773c814465c4a8f2ef9faae702cfb3,2491869561170205997769
0x561f551f0c65a14df1966e5d38c19d03b03263f5,2478051832455574185587
0x1fbf5955b35728e650b56ef48ee9f3bd020164c8,2460004799551813448488
