Account,Allocation,BAL,vlCVX,Voting power,Vote
0x9e2b6378ee8ad2a4a95fe481d63caba8fb0ebbf9,5451724367180782792275,0,261118963684839545749128,0,-
0xdff2aea378e41632e45306a6de26a7e0fd93ab07,5425333294761338038370,0,259596777287199860438704,0,-
0xaba85673458b876c911ccff5e3711bcedb3b4f56,5258334557610756746726,0,250000000000000000000000,0,-
0xb4982f934db398cd4e1f24a581ebdf5df9ba4069,5191452731482692797726,183189454854865374500,246173921849756152369082,0,-
0x7a16ff8270133f063aab6c9977183d9e72835428,4953087942926461437310,0,232620631948035123059526,0,-
0x56a201b872b50bbdee0021ed4d1bb36359d291ed,4920809866507282094972,0,230795428388313885079697,0,-
0xe81b85cd6903deccfea9c4d3fa87d29bf02e5cc0,4875779362292951191193,0,228253219980240683071315,0,-
0x04f806b3a5d670901a19879a626e0e025b7991f3,4766038556476782105165,0,222077968007456365739927,0,-
0x70fce97d671e81080ca3ab4cc7a59aac2e117137,4688113478843436496390,0,217710637087226758012548,0,-
0x6db65261a4fc3f88e60b7470e9b38db0b22e785c,4606940333805673617462,0,213177055085099069401622,0,-
0xd0ed2d0b2b136f0dfeefc1387dc52ef5d2293dae,4569984138054324830591,0,211118420099134818883613,0,-
0x6aed19abab347eb07a2c8b264fc5c4c1b002210b,4182533380321468030161,0,189745013647687213961035,0,-
0x4ee98b27eef58844e460922ec9da7c05d32f284a,4074153232820899120270,0,183837012737358949379995,0,-
0x3505b95dbc8dbd895614f34ee8633ecbbaf35dc6,4008131666564745501091,0,180253748197794775478542,0,-
0xa23f54e0bb57a6114d831c080823f5fe2616cf98,3838243431553486971097,0,171089083207129529910162,0,-
0x649f69ccd077da03dfb11f4b1daab4b625f5e9a3,3808090819343736711744,0,169471053963405109243467,0,-
0xc72aed14386158960d0e93fecb83642e68482e4b,3765257487969425255869,0,167177072310608724365011,0,-
0x67068f70088f214c0ca03a3934d384a0308da355,3622098028895201878186,0,159549044707150635076687,0,-
0xf9a2fa22cb7df26e3a10622c696f37fc345c6239,3547273628974623079557,0,155586498646061663748696,0,-
0xbc280becab2bf6ddc0c126e9179d27bb0ebe52a3,3512004862139556280454,0,153724643880999996326864,0,-
0x05f0ba0f63b401bc9b86089265cee2f79c955768,3457371702445594564779,0,150848097961971041513607,0,-
0xec74c7dacbe337ea39116851cdf3851f6bd754b2,3319934474353266068647,0,143653121120993280783296,0,-
0x3f29065b40353c7d823b5834e8ccff5cf1e539b2,3290143458753071627143,0,142101475521963584469631,0,-
0x09f2d2c353507f8cfb49b392ddd0f54405e95846,3244255796666036076203,0,139717078716914111282676,0,-
0x708e5804d0e930fac266d8b3f3e13edba35ac86e,3195560537487894180231,0,137194340217172692064196,0,-
0x28b7ec763fd69f42eeb16ff6621e7c5f2f5e09ea,3071115335904598396155,0,130783197545257018646225,0,-
0xfa82f1ba00b0697227e2ad6c668abb4c50ca0b1f,3036187137628151958779,0,128993225469179713400081,0,-
0x32ad3d7dc190280f5fd759509daeb9b06a620ea2,2991816376234250583366,0,126725428556026236037724,0,-
0x957fe1ed8a14b6803a657b2e211d1bbe875af1c3,2962392546932207551436,0,125225359832870366517454,0,-
0x9d478db0cf81a3e051d5041e65056f76b9fec128,2859432884886212832498,0,120000488083320480654947,0,-
0x561f551f0c65a14df1966e5d38c19d03b03263f5,2829702841884251483862,0,118498880000000004656613,0,-
0x72b223de2f773c814465c4a8f2ef9faae702cfb3,2802901280095015408733,0,117147949824807379627600,0,-
0x482ba6028f0332aafea3cfc040d797350975efea,2769362321924204479728,0,115461147657336565316655,0,-
0x5c461a0c595d6b2a4b0f4a42fd55be7aaed8af80,2762596394188668909919,0,115121368598908928106539,0,-
0x48c6074ffcb8fb67d75ccd06571b42542ed82555,2728266829178991883964,0,113400000129424210172147,0,-
0x284b4d2b39c49ec987aa5129c2145711363181c7,2673130814145159092732,0,110644636815332851256244,0,-
0x09d4083ffd20d21acb9118465ad7c52ac8b548f7,2671634844048719060083,0,110570038317767495755106,0,-
0xb115aff9ce430fef6fcde91099a377795a4319bf,2660914935294339557004,0,110035726633611760917120,0,-
