Account,Allocation,BAL,vlCVX,Voting power,Vote
0xf8c98cefa0eb07815085ee629ceba37f3dedd47a,9374189332696627388941,125000000000000000000000,0,0,-
0xcd42a6427df188ccca1f995b229d990278bffc0d,9374189332696627388941,125000000000000000000000,0,0,-
0x3b83c426c3b51546aaa1e3716b313bc0ce35801f,9373659271246549906209,124990045048499579934287,0,0,-
0x130a0c04fa302f6f670f04cc0ccc8b1ad240c468,9070689981130910382490,119337921079176434432156,0,0,-
0x59b4642dd7708f84235072a8b9c0cc0b2cc24bbb,9070689981130910382490,119337921079176434432156,0,0,-
0xb4fd16529ae8b578d7d23e8df5a900e130861b3d,9070689981130910382490,119337921079176434432156,0,0,-
0x895d4bdc04520fe43685abf620af2f37e41ece85,9013929996492610371206,118287493734933843370527,0,0,-
0xe08a8b19e5722a201eaf20a6bc595ef655397bd5,8933365735607474562130,116801168421811220468953,0,0,-
0x3c221e16a342a5ec114f7259a37ef42b0597c251,8684535902341089240508,112245156630621364456601,0,0,-
0xda6b2a5e0c56542984d84a710f90eefd94ca1991,8528777127859766551410,109420173763970728032291,0,0,-
0x92ea9272b0476174b19a0e0499ff40e24c5ca895,8304217665264195602504,105384372726913890801370,0,0,-
0x6724f3fbb16f542401bfc42c464ce91b6c31001e,8047892521294516882335,100831903648134338254749,0,0,-
0x9b71dbccd9ffb858899ef3244b09a5354b16048e,8000693100627947387693,99999999999999985448085,0,0,-
0x6aee9dc09702dffab334f3f8e6f3f97c0e7261f4,8000693100627947387693,99999999999999985448085,0,0,-
0xb3663692e6e3298ed8d03700f1c5298ebb47a003,8000693100627947387693,99999999999999985448085,0,0,-
0x66c9e1e4fe518cebfe59c9de16e1c780ef5bacd3,8000693100627947387693,99999999999999985448085,0,0,-
0xd519d5704b41511951c8cf9f65fee9ab9bef2611,8000693100627947387693,99999999999999985448085,0,0,-
0xc9cea7a3984cefd7a8d2a0405999cb62e8d206dc,8000693100627947387693,99999999999999985448085,0,0,-
0x54e2c802ffc9b6a6e796ad831055146bc31276cd,7939697791141526067804,98927906284871365642175,0,0,-
0x94278cbc4cb0c15ad23084502db7e6154eaf9b0d,7935360256952246345463,98851794668417613138445,0,0,-
0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,7887341624920076355920,98010338179638771180180,0,0,-
0x4f76ff660dc5e37b098de28e6ec32978e4b5beb6,7612050508003141658264,93226829560538157238625,0,0,-
0xfe73b5a595405bac396c329c674571a7a3db528c,7480206172954877729353,60640420063942226988729,0,78007748059863064554520,Y
0x24faf482304ed21f82c86ed5feb0ea313231a808,7249995005324485646270,87042735119919118005782,0,0,-
0xbdc1340bedeb6a65d96f2cb319028208f35da8c8,6816059510587420845695,79795784073346672812477,0,0,-
0x1a249e361f9e6f9b9de4bb528a72e6a1f8345241,6284993323122274887282,71180701916273916140199,0,0,-
0x4a65e76be1b4e8dd6ef618277fa55200e3f8f20a,6167383351743416824320,69311853169239577255212,0,0,-
0x9d3a2657b4676349b2dd614247e5dd4b33fe303a,6151462325722514833615,69059975230559124611318,0,0,-
0x626af9d4f2bbabf5161a466996bf1a0eb8e4498d,5984767784882479645603,66438849298721281229518,0,0,-
0xd74bcb044b7c6747fed01d8a3527d5bc356d51d9,5984767784882479645603,66438849298721281229518,0,0,-
0xd01ce364c68a5ad7f85ac4fc3246e577a00442cd,5984767784882479645603,66438849298721281229518,0,0,-
0xf694197103dfb3e2d1a21effb72f945710fbefc9,5907663900219525203283,65236458617652540851850,0,0,-
0xf0d1ea509f19836907c5324fd8c19ed7943097eb,5811551024944523305749,63746590717584556841757,0,0,-
0x967159c42568a54d11a4761fc86a6089ed42b7ba,5802367420249642236740,63604756990000001678709,0,0,-
0x788c0d59aee802ee615b3db138215862247f5960,5783581647905461977643,63314910768315014138352,0,0,-
0xc75159987ab5bba7df82684aad12af3123a5f667,5717712466362952000054,62301654145546759536956,0,0,-
0x3744da57184575064838bbc87a0fc791f5e39ea2,5711590319675772661867,62207719100000002072193,0,0,-
0x242d7cd78cce454946f35f0a263b54fbe228852c,5691387052616464643506,61898022512131694384152,0,0,-
0xe7a76d8513e55578c80e4b26fc61ee7d4906d4cd,5682604145420729764737,61763528898347500216914,0,0,-
0x0154d25120ed20a516fe43991702e7463c5a6f6e,5490828147098231056589,58848138813288815626379,0,0,-
0x10aa978d5fb68dc134a4843756257e67c523a402,5433394038917498619412,57983019999999996798579,0,0,-
0x39d787fdf7384597c7208644dbb6fda1cca4ebdf,5251844425452631185181,55272997259340321761556,0,0,-
0x6e33b41e44ca2be27e8f65b5231ae61a21044b4a,5063382275388726156962,52500000000000000000000,0,0,-
0x6531cd56a27cedf3e4e0de6410ccb8cae529dac6,4973466807020361557079,51191688420606129511725,0,0,-
0x0b177b7f10faeadd6eee6d2cc46d783f460566c8,4890984817140385530365,49999999999999992724042,0,0,-
0x0a29500ccc6af0b11c72d4e171d925eb0bb7ee15,4890984817140385530365,49999999999999992724042,0,0,-
0xf1f7c71cb81ceba1dc5fd659eeb144301df0dbb4,4890984817140385530365,49999999999999992724042,0,0,-
0xd3238d8be92fd856146f53a8b6582bc88e887559,4890984817140385530365,49999999999999992724042,0,0,-
0xdceacfdc8679cc3223541e840a38627e8d2d9fed,4890984817140385530365,49999999999999992724042,0,0,-
0xf96cd1cf416b50b60358a17bc8593060148de422,4890984817140385530365,49999999999999992724042,0,0,-
0x575daf04615aef7272b388e3d7fac8adf1974173,4750022063898605665599,47982371814826135960175,0,0,-
0x1cbad69d9cc22962a0a885921518c06ed2f04ffd,4741886935448729673226,47866669999999998253770,0,0,-
0xaa857ddce7b5b9cb17296c790cb40e8c11a3d4f0,4740931751961809823115,47853090223857292585308,0,0,-
0x8180d59b7175d4064bdfa8138a58e9babffda44a,4722809096798971040698,47595653598532608157256,0,0,-
0x6d5dda04760f0515dc131ff4df76a5188ffcdfcb,4664209740399257498211,46766000000000000000000,0,0,-
0xdea0d77a9b02020acf075074881f370a31009982,4538459835389237014169,45000000000000000000000,0,0,-
